geometry,address,lon,lat,found_address
POINT (-8.480119969919372 51.89882001927998),"42 Grattan Street, Cork",-8.480119969919372,51.89882001927998,"Middle Parish Community Centre, Grattan Street, The Marsh, Centre B ED, Cork, County Cork, Munster, T12 RY7Y, Éire / Ireland"
POINT (-8.478079982324545 51.902480019211055),"1 Old Friary Place, Cork",-8.478079982324545,51.902480019211055,"1, Old Friary Place, Shandon B, Cork, County Cork, Munster, T23 KHA8, Éire / Ireland"
POINT (-8.480100020989823 51.91443001474926),"179 Kilnap Place, Farranree, Cork",-8.480100020989823,51.91443001474926,"Kilnap Place, Farranree, Farranferris B, Cork, County Cork, Munster, T23 R966, Éire / Ireland"
POINT (-8.399309999999957 51.92694000000006),"Glanmire, Cork",-8.399309999999957,51.92694000000006,"Barnavarna Road, Rathcooney, Cork, County Cork, Munster, T45 HX28, Éire / Ireland"
POINT (-8.392839966524775 51.93509999752749),"14 Crestfield Mews, Riverstown, Cork",-8.392839966524775,51.93509999752749,"Crestfield Mews, Riverstown, Cork, County Cork, Munster, T45 DH05, Éire / Ireland"
POINT (-8.37762999738456 51.929589985837026),"36 Copper Valley Vue, Brooklodge (Glanmire), Cork",-8.37762999738456,51.929589985837026,"Copper Valley Vue, Caherlag ED, Cork, County Cork, Munster, T45 Y921, Éire / Ireland"
POINT (-8.530130008482445 51.87798000959586),"Clogheen, Rossa Avenue, Cork",-8.530130008482445,51.87798000959586,"Centra, Curraheen Road, Bishopstown ED B, Cork, County Cork, Munster, T12 NX67, Éire / Ireland"
POINT (-8.476739967463885 51.89349000896024),"33 Prosperity Square, Cork",-8.476739967463885,51.89349000896024,"21, Reeds Square, South Gate B, Cork, County Cork, Munster, T12 A0T3, Éire / Ireland"
POINT (-8.512460034579249 51.887300015374706),"4 Avondale, Cork",-8.512460034579249,51.887300015374706,"Bishopstown ED C, Cork, County Cork, Munster, T12 R2NC, Éire / Ireland"
POINT (-8.470680019106112 51.905509993389956),"97 Rathmore Place, Cork",-8.470680019106112,51.905509993389956,"Rathmore Place, Blackpool ED B, Cork, County Cork, Munster, T23 YE35, Éire / Ireland"
