Address,Price,Beds,Baths,Area,Latitude,Longitude,geometry,found_address,city_area,link
"42 Grattan Street, Cork City, Co. Cork",265000,4,2,104,51.89882002,-8.48011997,POINT (-8.480119969919372 51.89882001927998),"MIDDLE PARISH COMMUNITY CENTRE, GRATTAN STREET, THE MARSH, CENTRE B ED, CORK, COUNTY CORK, MUNSTER, T12 RY7Y, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.89882001927998,-8.480119969919372,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"1 Old Friary Place, Shandon Street, Cork City, Co. Cork",275000,2,2,70,51.90248002,-8.478079982,POINT (-8.478079982324545 51.902480019211055),"1, OLD FRIARY PLACE, SHANDON B, CORK, COUNTY CORK, MUNSTER, T23 KHA8, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.902480019211055,-8.478079982324545,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"179 Kilnap Place, Farranree, Farranree, Co. Cork",225000,3,1,75,51.91443001,-8.480100021,POINT (-8.480100020989823 51.91443001474926),"KILNAP PLACE, FARRANREE, FARRANFERRIS B, CORK, COUNTY CORK, MUNSTER, T23 R966, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.91443001474926,-8.480100020989823,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"23 Tower Hill, Kilcoolishal, Glanmire, Co. Cork",580000,5,3,282,51.92694,-8.39931,POINT (-8.399309999999957 51.92694000000006),"BARNAVARNA ROAD, RATHCOONEY, CORK, COUNTY CORK, MUNSTER, T45 HX28, ÉIRE / IRELAND",Cork City North East,"https://www.google.com/maps/@51.92694000000006,-8.399309999999957,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"14 Crestfield Mews, Riverstown, Glanmire, Co. Cork",290000,3,1,76,51.9351,-8.392839967,POINT (-8.392839966524775 51.93509999752749),"CRESTFIELD MEWS, RIVERSTOWN, CORK, COUNTY CORK, MUNSTER, T45 DH05, ÉIRE / IRELAND",Cork City North East,"https://www.google.com/maps/@51.93509999752749,-8.392839966524775,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"36 Copper Valley Vue, Glanmire, Glanmire, Co. Cork",380000,4,3,136,51.92958999,-8.377629997,POINT (-8.37762999738456 51.929589985837026),"COPPER VALLEY VUE, CAHERLAG ED, CORK, COUNTY CORK, MUNSTER, T45 Y921, ÉIRE / IRELAND",Cork City North East,"https://www.google.com/maps/@51.929589985837026,-8.37762999738456,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"Falcal Heights Clogheen, Cork City, Co. Cork",750000,6,4,625,51.87798001,-8.530130008,POINT (-8.530130008482445 51.87798000959586),"CENTRA, CURRAHEEN ROAD, BISHOPSTOWN ED B, CORK, COUNTY CORK, MUNSTER, T12 NX67, ÉIRE / IRELAND",Cork City South West,"https://www.google.com/maps/@51.87798000959586,-8.530130008482445,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"33 Prosperity Square, Barrack Street, Cork City, Co. Cork",150000,2,1,56,51.89349001,-8.476739967,POINT (-8.476739967463885 51.89349000896024),"21, REEDS SQUARE, SOUTH GATE B, CORK, COUNTY CORK, MUNSTER, T12 A0T3, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.89349000896024,-8.476739967463885,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"4 Avondale, Model Farm Road, Model Farm Road, Co. Cork",745000,5,2,165,51.88730002,-8.512460035,POINT (-8.512460034579249 51.887300015374706),"BISHOPSTOWN ED C, CORK, COUNTY CORK, MUNSTER, T12 R2NC, ÉIRE / IRELAND",Cork City South West,"https://www.google.com/maps/@51.887300015374706,-8.512460034579249,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"97 Rathmore Place, Richmond Hill, Cork City, Co. Cork",265000,3,1,99,51.90550999,-8.470680019,POINT (-8.470680019106112 51.905509993389956),"RATHMORE PLACE, BLACKPOOL ED B, CORK, COUNTY CORK, MUNSTER, T23 YE35, ÉIRE / IRELAND",Cork City North East,"https://www.google.com/maps/@51.905509993389956,-8.470680019106112,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"Pinegrove, Carhoo, Rathpeacon, Co. Cork",280000,3,1,135,51.93579,-8.487509959,POINT (-8.48750995867303 51.93578999579688),"KILLENDANIEL, RATHPEACON, WHITECHURCH, CORK, COUNTY CORK, MUNSTER, T23 WY83, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.93578999579688,-8.48750995867303,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"5 The Grove, Gleann Na Ri, Blarney, Co. Cork",325000,3,2,95,51.9254155,-8.599855304,POINT (-8.599855303981068 51.925415498105835),"GLEANN NA RÍ GROVE, TOWER, BLARNEY ED, CORK, COUNTY CORK, MUNSTER, T23 PW56, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.925415498105835,-8.599855303981068,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"2 The Well, Eden, Blackrock, Co. Cork",480000,4,3,165,51.89354998,-8.412420009,POINT (-8.412420008523583 51.89354998147746),"BLACKROCK GROVE, BLACKROCK, MAHON A, CORK, COUNTY CORK, MUNSTER, T12 R5Y8, ÉIRE / IRELAND",Cork City South East,"https://www.google.com/maps/@51.89354998147746,-8.412420008523583,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"18 St. Enda's Road, Gurranabraher, Co. Cork",225000,3,1,70,51.90460001,-8.487970041,POINT (-8.487970041338343 51.90460001207171),"SAINT ENDA'S ROAD, GURRANABRAHER E, CORK, COUNTY CORK, MUNSTER, T23 W08N, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.90460001207171,-8.487970041338343,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"32 Evergreen Buildings, Cork City, Co. Cork",230000,2,1,60,51.89418998,-8.476169998,POINT (-8.476169998047965 51.89418998169441),"EVERGREEN BUILDINGS, SOUTH GATE B, CORK, COUNTY CORK, MUNSTER, T12 Y720, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.89418998169441,-8.476169998047965,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"1 Woodcote, Saint Clare's Avenue, Cork City, Co. Cork",350000,3,2,129,51.88704001,-8.496399973,POINT (-8.496399972818978 51.88704000873818),"GLASHEEN DENTAL CARE, GLASHEEN ROAD, GLASHEEN B, CORK, COUNTY CORK, MUNSTER, T12 HT97, ÉIRE / IRELAND",Cork City South West,"https://www.google.com/maps/@51.88704000873818,-8.496399972818978,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"20 Westbury Grove, Wilton, Co. Cork",295000,4,2,120,51.87366002,-8.499930011,POINT (-8.49993001134132 51.873660018608746),"WESTBURY GROVE, INISHKENNY, CORK, COUNTY CORK, MUNSTER, T12 C8VW, ÉIRE / IRELAND",Cork City South West,"https://www.google.com/maps/@51.873660018608746,-8.49993001134132,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"1 Mount Vernon Terrace, Saint Lukes, St. Lukes, Co. Cork",350000,3,2,90,51.90598998,-8.460229965,POINT (-8.460229965141139 51.9059899830753),"VICTORIA TERRACE, ST. PATRICK'S C, CORK, COUNTY CORK, MUNSTER, T23 T292, ÉIRE / IRELAND",Cork City North East,"https://www.google.com/maps/@51.9059899830753,-8.460229965141139,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"24 Sommerville, Reeves Wood, Douglas, Co. Cork",310000,3,2,100,51.87957001,-8.440650007,POINT (-8.440650006961391 51.87957001471872),"REEVES WOOD, TRAMORE C, CORK, COUNTY CORK, MUNSTER, T12 K702, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.87957001471872,-8.440650006961391,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"62 Uam Var Avenue, Bishopstown, Co. Cork",495000,3,2,224,51.87947002,-8.531489972,POINT (-8.531489972272652 51.87947001861383),"L99461, BISHOPSTOWN ED B, CORK, COUNTY CORK, MUNSTER, T12 HP29, ÉIRE / IRELAND",Cork City South West,"https://www.google.com/maps/@51.87947001861383,-8.531489972272652,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"Aine, Model Village, Blarney, Co. Cork",495000,4,2,144,51.92394,-8.613089979,POINT (-8.613089978980412 51.92393999636357),"TOWER HALL, MODEL VILLAGE, TOWER, MATEHY, CORK, COUNTY CORK, MUNSTER, T23 YX51, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.92393999636357,-8.613089978980412,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"62 Greenhills Court, South Douglas Road, Douglas, Co. Cork",275000,3,1,80,51.87921001,-8.453329982,POINT (-8.453329982447116 51.879210011977335),"GREENHILLS COURT, TRAMORE C, CORK, COUNTY CORK, MUNSTER, T12 WV83, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.879210011977335,-8.453329982447116,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"58 Churchfield Avenue, Churchfield, Churchfield, Co. Cork",245000,4,1,76,51.90994,-8.492559972,POINT (-8.49255997151721 51.909939996856224),"CHURCHFIELD AVENUE, CHURCHFIELD ED, CORK, COUNTY CORK, MUNSTER, T23 W08N, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.909939996856224,-8.49255997151721,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"10 O'Connell Street, Blackpool, Co. Cork",159000,2,1,46,51.90777001,-8.475259975,POINT (-8.475259974820204 51.90777000594315),"4, O'CONNELL STREET, FARRANFERRIS A, CORK, COUNTY CORK, MUNSTER, T23 V38R, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.90777000594315,-8.475259974820204,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"10 The Close, Ard Patrick, Blackpool, Co. Cork",295000,4,4,114,51.90977999,-8.470030003,POINT (-8.470030002514847 51.90977998632462),"10, ARD PATRICK CLOSE, BLACKPOOL ED B, CORK, COUNTY CORK, MUNSTER, T23 FX5R, ÉIRE / IRELAND",Cork City North East,"https://www.google.com/maps/@51.90977998632462,-8.470030002514847,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"25 Inniscarra Road, Fairhill, Co. Cork",245000,2,2,71,51.90829002,-8.485469971,POINT (-8.485469971078203 51.90829001921614),"INNISCARA ROAD, CHURCHFIELD, FAIR HILL A, CORK, COUNTY CORK, MUNSTER, T23 W08N, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.90829001921614,-8.485469971078203,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"37 Great William O'Brien Street, Blackpool, Co. Cork",375000,7,3,324,51.90857002,-8.475229968,POINT (-8.475229967606822 51.908570016691726),"33, GREAT WILLIAM O'BRIEN STREET, FARRANFERRIS A, CORK, COUNTY CORK, MUNSTER, T23 XH61, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.908570016691726,-8.475229967606822,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"Lizlee, Model Farm Road, Co. Cork",445000,5,3,176,51.89224002,-8.548020007,POINT (-8.548020007343979 51.892240015739674),"MODEL FARM ROAD, BALLINCOLLIG ED, CORK, COUNTY CORK, MUNSTER, T12 WT4A, ÉIRE / IRELAND",Cork City South West,"https://www.google.com/maps/@51.892240015739674,-8.548020007343979,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"Trenton, 27 Loreto Park, Douglas, Co. Cork",595000,4,2,143,51.88282999,-8.454110002,POINT (-8.454110002356629 51.88282998832074),"LORETO PARK, TRAMORE B, CORK, COUNTY CORK, MUNSTER, T12 WV83, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.88282998832074,-8.454110002356629,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"4 Rock Cottages, Commons Road, Cork City, Co. Cork",245000,4,2,96,51.90148999,-8.481849995,POINT (-8.481849994734802 51.901489990717494),"SUNDAY'S WELL B, CORK, COUNTY CORK, MUNSTER, T23 RHW2, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.901489990717494,-8.481849994734802,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"1 Coolflugh, Tower, Blarney, Co. Cork",525000,4,4,193,51.92284,-8.604170041,POINT (-8.604170041440142 51.92283999730034),"MUSKERRY GOLF COURSE, BLARNEY ROAD, CARRIGROHANE BEG ED, CORK, COUNTY CORK, MUNSTER, T23 W968, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.92283999730034,-8.604170041440142,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"1 Coolflugh, Tower, Blarney, Co. Cork",525000,4,4,193,51.92284,-8.604170041,POINT (-8.604170041440142 51.92283999730034),"MUSKERRY GOLF COURSE, BLARNEY ROAD, CARRIGROHANE BEG ED, CORK, COUNTY CORK, MUNSTER, T23 W968, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.92283999730034,-8.604170041440142,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"Avondhu, 36 Endsleigh Estate, Douglas, Co. Cork",625000,4,2,155,51.8835,-8.442569966,POINT (-8.442569965702745 51.883499995751066),"ENDSLEIGH ESTATE, BROWNINGSTOWN ED, CORK, COUNTY CORK, MUNSTER, T12 K702, ÉIRE / IRELAND",Cork City South East,"https://www.google.com/maps/@51.883499995751066,-8.442569965702745,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"Villa Martin, 12 Cedar Avenue, Bishopstown, Co. Cork",380000,4,2,109,51.88668001,-8.514730022,POINT (-8.514730021597217 51.886680005996794),"BISHOPSTOWN AVENUE WEST, BISHOPSTOWN ED C, CORK, COUNTY CORK, MUNSTER, T12 Y9KT, ÉIRE / IRELAND",Cork City South West,"https://www.google.com/maps/@51.886680005996794,-8.514730021597217,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"4 Wyse's Cottages, Blarney Street, Cork City Centre",265000,2,1,69,51.90127001,-8.48994004,POINT (-8.48994004004166 51.90127000766864),"281, BLARNEY STREET, GURRANABRAHER B, CORK, COUNTY CORK, MUNSTER, T23 HF50, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.90127000766864,-8.48994004004166,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"405 Northgate House, Kyrl's Quay, Cork City, Co. Cork",249000,2,1,58,51.90091998,-8.479250012,POINT (-8.4792500121888 51.90091997939206),"SUPERMAC'S, NORTH MAIN STREET, THE MARSH, CENTRE B ED, CORK, COUNTY CORK, MUNSTER, T12 AKA6, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.90091997939206,-8.4792500121888,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"405 Northgate House, Kyrl's Quay, Cork City, Co. Cork",249000,2,1,58,51.90091998,-8.479250012,POINT (-8.4792500121888 51.90091997939206),"SUPERMAC'S, NORTH MAIN STREET, THE MARSH, CENTRE B ED, CORK, COUNTY CORK, MUNSTER, T12 AKA6, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.90091997939206,-8.4792500121888,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"2 Westbourne Terrace, The Lough, The Lough, Co. Cork",370000,3,1,123,51.88840999,-8.484579981,POINT (-8.484579980599023 51.88840998890271),"LOUGH RD (OPPOSITE CORK LOUGH PARK), LOUGH ROAD, THE LOUGH, CORK, COUNTY CORK, MUNSTER, T12 KPN3, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.88840998890271,-8.484579980599023,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"11 Monastery Avenue, Blarney Street, Cork City, Co. Cork",395000,4,3,124,51.90212999,-8.501340015,POINT (-8.50134001509349 51.90212999093444),"11, MONASTERY AVENUE, KNOCKNAHEENY, CORK, COUNTY CORK, MUNSTER, T23 A720, ÉIRE / IRELAND",Cork City North West,"https://www.google.com/maps/@51.90212999093444,-8.50134001509349,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"Burkes Lane, Ballinvriskig, Cork City, Co. Cork",440000,4,2,109,51.94032,-8.45285,POINT (-8.452849999999955 51.94032000000004),"BALLYHOOLY NEW ROAD, RATHCOONEY, CORK, COUNTY CORK, MUNSTER, T23 AE00, ÉIRE / IRELAND",Cork City North East,"https://www.google.com/maps/@51.94032000000004,-8.452849999999955,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
"11 Rowan Hill, Mount Oval Village, Rochestown, Co. Cork",395000,3,3,102,51.87779,-8.37158,POINT (-8.371579999999938 51.87779000000006),"ROCHESTOWN ROAD, GARRYDUFF, DOUGLAS, CORK, COUNTY CORK, MUNSTER, T12 WV08, ÉIRE / IRELAND",Cork City South Central,"https://www.google.com/maps/@51.87779000000006,-8.371579999999938,3a,75y,254.1h,90t/data=!3m4!1e1!3m2!1sAF1QipOz-BpF13JhlgTmgHuyBHQE7VnJv6uNE7-UUfL6!2e10"
