geometry,address
POINT (-8.480119969919372 51.89882001927998),"42 Grattan Street, Cork"
POINT (-8.478079982324545 51.902480019211055),"1 Old Friary Place, Cork"
POINT (-8.480100020989823 51.91443001474926),"179 Kilnap Place, Farranree, Cork"
POINT (-8.399309999999957 51.92694000000006),"Glanmire, Cork"
POINT (-8.392839966524775 51.93509999752749),"14 Crestfield Mews, Riverstown, Cork"
POINT (-8.37762999738456 51.929589985837026),"36 Copper Valley Vue, Brooklodge (Glanmire), Cork"
POINT (-8.530130008482445 51.87798000959586),"Clogheen, Rossa Avenue, Cork"
POINT (-8.476739967463885 51.89349000896024),"33 Prosperity Square, Cork"
POINT (-8.512460034579249 51.887300015374706),"4 Avondale, Cork"
POINT (-8.470680019106112 51.905509993389956),"97 Rathmore Place, Cork"
POINT (-8.48750995867303 51.93578999579688),"Pinegrove, Carhoo, Lisduff (Whitechurch), Cork"
POINT (-8.599855303981068 51.925415498105835),"5 The Grove, Gleann na Ri, Cork"
POINT (-8.412420008523583 51.89354998147746),"2 The Well, Blackrock, Cork"
POINT (-8.487970041338343 51.90460001207171),"18 St Endas Road, Gurranebraher, Cork"
POINT (-8.476169998047965 51.89418998169441),"32 Evergreen Buildings, Cork"
POINT (-8.496399972818978 51.88704000873818),"Saint Clare's, Glasheen Road, Cork"
POINT (-8.49993001134132 51.873660018608746),"20 Westbury Grove, Cork"
POINT (-8.460229965141139 51.9059899830753),"1 Mount Vernon Terrace, Cork"
POINT (-8.440650006961391 51.87957001471872),"Summerville, 23 Reeves Wood, Cork"
POINT (-8.531489972272652 51.87947001861383),"62 Uam Var Avenue, Cork"
POINT (-8.613089978980412 51.92393999636357),"Aine, Model Village, Model Village (Tower), Cork"
POINT (-8.453329982447116 51.879210011977335),"62 Greenhills Court, Cork"
POINT (-8.49255997151721 51.909939996856224),"58 Churchfield Avenue, Cork"
POINT (-8.475259974820204 51.90777000594315),"10 O'Connell Street, Cork"
POINT (-8.470030002514847 51.90977998632462),"10 The Close, Cork"
POINT (-8.485469971078203 51.90829001921614),"25 Inniscarra Road, Cork"
POINT (-8.475229967606822 51.908570016691726),"37 Great William O'Brien Street, Cork"
POINT (-8.548020007343979 51.892240015739674),"Lizlee, Model Farm Road, Carrigrohane, Cork"
POINT (-8.454110002356629 51.88282998832074),"27 Loreto Park, Cork"
POINT (-8.481849994734802 51.901489990717494),"4 Rock Cottages, Cork"
POINT (-8.604170041440142 51.92283999730034),"1 Coolflugh, Tower, Cork"
POINT (-8.471549976836684 51.89177000051913),"98 Evergreen Road, Cork"
POINT (-8.442569965702745 51.883499995751066),"36 Endsleigh Estate, Cork"
POINT (-8.514730021597217 51.886680005996794),"12 Bishopstown Avenue, Cork"
POINT (-8.48994004004166 51.90127000766864),"4 Wyses Cottages, Cork"
POINT (-8.4792500121888 51.90091997939206),"Northgate House, APARTMENT 101 Kyrls Quay, Cork"
POINT (-8.552899740007419 51.85744222791267),"35 Heatherfield Close, Waterfall, Cork"
POINT (-8.484579980599023 51.88840998890271),"2 Westbourne Terrace, Cork"
POINT (-8.50134001509349 51.90212999093444),"11 Monastery Avenue, Cork"
POINT (-8.452849999999955 51.94032000000004),"Ballinvriskig, Ballinvriskig (Upper Glanmire), Cork"
POINT (-8.371579999999938 51.87779000000006),"Rochestown, Cork"
POINT (-8.61274003452283 51.87731000216553),"Kilnaglory Lodge, Greenfield, Ballincollig, Cork"
POINT (-8.401729980670723 51.86862999660366),"60 Foxwood, Cork"
POINT (-8.454460030633243 51.90913998610765),"106 Old Youghal Road, Cork"
POINT (-8.372337065633237 51.87774944861152),"Rochestown Road, Rochestown, Cork"
POINT (-8.496190006144445 51.877709986585046),"35 Argideen Lawn, Cork"
POINT (-3.0100770317828953 53.82530491307814),"14 Heron Way, Staining, Blackpool, Lancashire, England, FY3 8FB"
POINT (-8.394369999130419 51.93339997992544),"4 Hazelwood Gardens, Riverstown, Cork"
POINT (-8.485539959969714 51.90099998465786),"Altus, 14 Sunday's Well Road, Cork"
POINT (-8.442869995926912 51.91231000093384),"Old Youghal Road, Cork"
POINT (-8.46773998274827 51.86593001795276),"19 Dunvale Crescent, Cork"
POINT (-8.48851000354091 51.903939979106156),"6 Cathedral Road, Gurranebraher, Cork"
POINT (-8.473909985494771 51.891279994459495),"20 Maymount, Cork"
POINT (-8.419198003166102 51.896338788032914),"Blackrock Road, Blackrock, Cork"
POINT (-8.408215356371784 51.923569020628356),"6 Castlejane Cottages, Glanmire, Cork"
POINT (-8.487950008589763 51.90125001682958),"311 Blarney Street, Cork"
POINT (-8.481657171305326 51.90005805797592),"Devonshire Street West, Cork"
POINT (-8.523630010207938 51.88211999921228),"1 Central Avenue, Cork"
POINT (-8.484460035564581 51.88448000787034),"218 Pearse Road, Ballyphehane, Cork"
POINT (-8.393110031445104 51.87634998088532),"5 Manor Drive, Cork"
POINT (-8.442009970751599 51.859350014412485),"22 The Glen, Douglas, Cork"
POINT (-8.441939981860088 51.85927998361143),"22a The Glen, Douglas, Cork"
POINT (-8.849977343902957 51.6217400927134),"Ballintemple, Cork"
POINT (-8.372337065633237 51.87774944861152),"Rochestown Road, Rochestown, Cork"
POINT (-8.471600016798646 51.905960017771434),"6 Goldsmiths Avenue, Cork"
POINT (-8.461739964998202 51.92403999246844),"60 Kinvara Avenue, Ballyvolane, Cork"
POINT (-8.63051000453089 51.88331999438037),"13 Oak Avenue, Ballincollig, Cork"
POINT (-8.487520016956864 51.91072001676574),"30 Bantry Park Road, Cork"
POINT (-8.371579999999938 51.87779000000006),"Rochestown, Cork"
