Address,Price,Beds,Baths,Area
"42 Grattan Street, Cork City, Co. Cork","€265,000",4 Bed,2 Bath,104 m²
"1 Old Friary Place, Shandon Street, Cork City, Co. Cork","€275,000",2 Bed,2 Bath,70 m²
"179 Kilnap Place, Farranree, Farranree, Co. Cork","€225,000",3 Bed,1 Bath,75 m²
"23 Tower Hill, Kilcoolishal, Glanmire, Co. Cork","€580,000",5 Bed,3 Bath,282 m²
"14 Crestfield Mews, Riverstown, Glanmire, Co. Cork","€290,000",3 Bed,1 Bath,76 m²
"36 Copper Valley Vue, Glanmire, Glanmire, Co. Cork","€380,000",4 Bed,3 Bath,136 m²
"Falcal Heights Clogheen, Cork City, Co. Cork","€750,000",6 Bed,4 Bath,625 m²
"33 Prosperity Square, Barrack Street, Cork City, Co. Cork","€150,000",2 Bed,1 Bath,56 m²
"4 Avondale, Model Farm Road, Model Farm Road, Co. Cork","€745,000",5 Bed,2 Bath,165 m²
"97 Rathmore Place, Richmond Hill, Cork City, Co. Cork","€265,000",3 Bed,1 Bath,99 m²
"Pinegrove, Carhoo, Rathpeacon, Co. Cork","€280,000",3 Bed,1 Bath,135 m²
"5 The Grove, Gleann Na Ri, Blarney, Co. Cork","€325,000",3 Bed,2 Bath,95 m²
"2 The Well, Eden, Blackrock, Co. Cork","€480,000",4 Bed,3 Bath,165 m²
"18 St. Enda's Road, Gurranabraher, Co. Cork","€225,000",3 Bed,1 Bath,70 m²
"32 Evergreen Buildings, Cork City, Co. Cork","€230,000",2 Bed,1 Bath,60 m²
"1 Woodcote, Saint Clare's Avenue, Cork City, Co. Cork","€350,000",3 Bed,2 Bath,129 m²
"20 Westbury Grove, Wilton, Co. Cork","€295,000",4 Bed,2 Bath,120 m²
"1 Mount Vernon Terrace, Saint Lukes, St. Lukes, Co. Cork","€350,000",3 Bed,2 Bath,90 m²
"24 Sommerville, Reeves Wood, Douglas, Co. Cork","€310,000",3 Bed,2 Bath,100 m²
"62 Uam Var Avenue, Bishopstown, Co. Cork","€495,000",3 Bed,2 Bath,224 m²
"Aine, Model Village, Blarney, Co. Cork","€495,000",4 Bed,2 Bath,144 m²
"62 Greenhills Court, South Douglas Road, Douglas, Co. Cork","€275,000",3 Bed,1 Bath,80 m²
"58 Churchfield Avenue, Churchfield, Churchfield, Co. Cork","€245,000",4 Bed,1 Bath,76 m²
"10 O'Connell Street, Blackpool, Co. Cork","€159,000",2 Bed,1 Bath,46 m²
"10 The Close, Ard Patrick, Blackpool, Co. Cork","€295,000",4 Bed,4 Bath,114 m²
"25 Inniscarra Road, Fairhill, Co. Cork","€245,000",2 Bed,2 Bath,71 m²
"37 Great William O'Brien Street, Blackpool, Co. Cork","€375,000",7 Bed,3 Bath,324 m²
"Lizlee, Model Farm Road, Co. Cork","€445,000",5 Bed,3 Bath,176 m²
"Trenton, 27 Loreto Park, Douglas, Co. Cork","€595,000",4 Bed,2 Bath,143 m²
"4 Rock Cottages, Commons Road, Cork City, Co. Cork","€245,000",4 Bed,2 Bath,96 m²
"1 Coolflugh, Tower, Blarney, Co. Cork","€525,000",4 Bed,4 Bath,193 m²
"98 Evergreen Road, Cork City, Co. Cork","€225,000",1 Bed,1 Bath,52 m²
"Avondhu, 36 Endsleigh Estate, Douglas, Co. Cork","€625,000",4 Bed,2 Bath,155 m²
"Villa Martin, 12 Cedar Avenue, Bishopstown, Co. Cork","€380,000",4 Bed,2 Bath,109 m²
"1 Barry's Terrace, Glanmire, Co. Cork",Final Phase Available Now,4 Bed,1 Bath,94 m²
"66 Grange Way, Grange, Grange, Co. Cork","From €470,000",2 Bed,1 Bath,65 m²
"4 Wyse's Cottages, Blarney Street, Cork City Centre","€265,000",2 Bed,1 Bath,69 m²
"405 Northgate House, Kyrl's Quay, Cork City, Co. Cork","€249,000",2 Bed,1 Bath,58 m²
"35 Heatherfield Crescent, Ballymaw, Waterfall, Co. Cork","€725,000",5 Bed,4 Bath,227 m²
"2 Westbourne Terrace, The Lough, The Lough, Co. Cork","€370,000",3 Bed,1 Bath,123 m²
"11 Monastery Avenue, Blarney Street, Cork City, Co. Cork","€395,000",4 Bed,3 Bath,124 m²
"Burkes Lane, Ballinvriskig, Cork City, Co. Cork","€440,000",4 Bed,2 Bath,109 m²
"11 Rowan Hill, Mount Oval Village, Rochestown, Co. Cork","€395,000",3 Bed,3 Bath,102 m²
"Kilnaglory Lodge, Greenfield, Ballincollig, Co. Cork","€675,000",5 Bed,4 Bath,268 m²
"60 Foxwood, Rochestown, Co. Cork","€440,000",3 Bed,4 Bath,166 m²
"106 Old Youghal Road, Dillons Cross, St. Lukes, Co. Cork","€195,000",2 Bed,1 Bath,45 m²
"57 Delford Drive, Rochestown Road, Rochestown, Co. Cork","€295,000",3 Bed,1 Bath,90 m²
"35 Argideen Lawn, Togher, Togher, Co. Cork","€250,000",3 Bed,2 Bath,90 m²
"14 Heron Gate, Blackpool, Blackpool, Co. Cork","€290,000",2 Bed,2 Bath,79 m²
"4 Hazelwood Gardens Glanmire Cork, Glanmire, Co. Cork","€450,000",4 Bed,2 Bath,150 m²
"30 Altus, Sunday's Well Road, Sunday's Well, Co. Cork","€425,000",2 Bed,3 Bath,90 m²
"16 Centenary Row, Old Youghal Road, Cork City Centre","€160,000",3 Bed,1 Bath,72 m²
"19 Dunvale Crescent, Frankfield, Douglas, Co. Cork","€360,000",3 Bed,3 Bath,96 m²
"6 Cathedral Road, Gurranabraher, Co. Cork","€175,000",3 Bed,1 Bath,68 m²
"20 Maymount, Friars Walk, Cork City, Co. Cork","€275,000",3 Bed,2 Bath,69 m²
"9 Fitzgerald Place, Old Blackrock Road, Blackrock, Co. Cork","€225,000",2 Bed,1 Bath,69 m²
"Apartment 6, Castlejane Court, Glanmire, Co. Cork","€195,000",2 Bed,1 Bath,65 m²
"311 Blarney Street, Cork City, Co. Cork","€130,000",1 Bed,1 Bath,54 m²
"6 Walsh's Square, Devonshire Street West, Cork City Centre","€160,000",2 Bed,1 Bath,43 m²
"Highwinds, 1 Central Avenue, Bishopstown, Co. Cork","€485,000",3 Bed,2 Bath,152 m²
"218 Pearse Road, Ballyphehane, Ballyphehane, Co. Cork","€225,000",3 Bed,1 Bath,82 m²
"5 Manor Drive, Thornbury Heights, Rochestown, Co. Cork","€330,000",3 Bed,2 Bath,93 m²
"22 The Glen, Greenvalley, Donnybrook, Co. Cork","€305,000",3 Bed,2 Bath,90 m²
"22A The Glen, Greenvalley, Donnybrook, Co. Cork","€375,000",4 Bed,2 Bath,102 m²
"154 Lower Glanmire Road, Cork City, Co. Cork","AMV: €120,000",2 Bed,1 Bath,71 m²
"3 Ardfoyle Place, Ballintemple, Ballintemple, Co. Cork","€445,000",3 Bed,2 Bath,93 m²
"22 Kiltegan Crescent, Rochestown Road, Rochestown, Co. Cork","€440,000",4 Bed,3 Bath,120 m²
"6 Goldsmith's Avenue, Richmond Hill, Cork City, Cork City Centre","€235,000",2 Bed,2 Bath,50 m²
"60 Kinvara Avenue, Ballyvolane, Ballyvolane, Co. Cork","€305,000",3 Bed,3 Bath,108 m²
"13 Oak Avenue, Classes Lake, Ovens, Co. Cork","€320,000",3 Bed,2 Bath,87 m²
"30 Bantry Park Road, Fairhill, Fairhill, Co. Cork","€240,000",2 Bed,1 Bath,71 m²
"104 Ardkeale, Mount Oval Village, Rochestown, Co. Cork","€285,000",2 Bed,2 Bath,71 m²
"10 Sheares Street, Cork City Centre","€235,000",1 Bed,1 Bath,161 m²
"71 Fernwood, Glanmire, Glanmire, Co. Cork","€350,000",3 Bed,3 Bath,101 m²
"Apartment 26, The Lodge, The Oaks, Ovens, Co. Cork","€239,000",2 Bed,1 Bath,56 m²
"2 Kingslea, Grange, Douglas, Co. Cork","€375,000",3 Bed,2 Bath,140 m²
"117 Clonlea, Mount Oval Village, Rochestown, Co. Cork","€295,000",2 Bed,2 Bath,82 m²
